geo_code1,geo_code2,geo_name1,geo_name2,lad11cd1,lad11cd2,lad_name1,lad_name2,all,bicycle,foot,car_driver,car_passenger,train,light_rail,bus,taxi,motorbike,other,govtarget_slc,govtarget_sic,govtarget_slw,govtarget_siw,govtarget_sld,govtarget_sid,gendereq_slc,gendereq_sic,gendereq_slw,gendereq_siw,gendereq_sld,gendereq_sid,dutch_slc,dutch_sic,dutch_slw,dutch_siw,dutch_sld,dutch_sid,ebike_slc,ebike_sic,ebike_slw,ebike_siw,ebike_sld,ebike_sid,govtarget_sldeath_heat,govtarget_slvalue_heat,govtarget_sideath_heat,govtarget_sivalue_heat,gendereq_sldeath_heat,gendereq_slvalue_heat,gendereq_sideath_heat,gendereq_sivalue_heat,dutch_sldeath_heat,dutch_slvalue_heat,dutch_sideath_heat,dutch_sivalue_heat,ebike_sldeath_heat,ebike_slvalue_heat,ebike_sideath_heat,ebike_sivalue_heat,govtarget_slco2,govtarget_sico2,gendereq_slco2,gendereq_sico2,dutch_slco2,dutch_sico2,ebike_slco2,ebike_sico2,e_dist_km,rf_dist_km,rq_dist_km,dist_rf_e,dist_rq_rf,rf_avslope_perc,rq_avslope_perc,rf_time_min,rq_time_min
E02002985,E02003118,Bath and North East Somerset 001,South Gloucestershire 029,E06000022,E06000025,Bath and North East Somerset,South Gloucestershire,73,2,5,58,6,0,0,1,0,1,0,4.1,2.1,4.85,-0.149,56.29,-1.71,2.36,0.364,4.97,-0.0331,57.7,-0.298,13.23,11.23,4.24,-0.757,48.83,-9.17,23.78,21.78,3.49,-1.51,40.21,-17.79,-0.00119,2202,-5.68e-4,1052,-6.93e-4,1284,-7.26e-5,134,-0.0037200000000000002,6908,-0.0031,5758,-0.00424,7856,-0.00362,6706,-1137,-581,-657,-101,-3672,-3116,-6605,-6049,4.63,6.68,7.54,1.44,1.13,3.2,3.2,32.5,42.37
E02002985,E02003119,Bath and North East Somerset 001,South Gloucestershire 030,E06000022,E06000025,Bath and North East Somerset,South Gloucestershire,68,1,1,50,6,0,0,8,1,0,1,3.21,2.21,0.967,-0.0331,48.35,-1.65,2.4,1.4,0.976,-0.0237,49,-0.997,13.8,12.8,0.811,-0.189,40.42,-9.58,23.25,22.25,0.669,-0.331,33.38,-16.62,-9.13e-4,1692,-6.35e-4,1177,-5.47e-4,1014,-2.69e-4,499,-0.00412,7651,-0.00385,7136,-0.00449,8322,-0.00421,7807,-787,-550,-569,-332,-3431,-3194,-5783,-5546,4.32,6.56,5.83,1.52,0.889,2.87,2.97,28.05,34.07
E02002985,E02003121,Bath and North East Somerset 001,South Gloucestershire 032,E06000022,E06000025,Bath and North East Somerset,South Gloucestershire,125,4,5,96,10,0,0,9,0,1,0,8.11,4.11,4.83,-0.17,92.74,-3.26,11.01,7.01,4.71,-0.288,90.44,-5.56,28.69,24.69,3.98,-1.02,76.39,-19.61,47.39,43.39,3.2,-1.8,61.57,-34.43,-0.0016,2968,-8.18e-4,1516,-0.00172,3190,-9.37e-4,1738,-0.00599,11109,-0.00521,9657,-0.00709,13161,-0.00631,11709,-1504,-764,-2044,-1304,-5343,-4603,-8826,-8086,3.12,4.62,4.65,1.48,1.01,3.49,3.7,22.72,36.92
E02002985,E02006887,Bath and North East Somerset 001,Bristol 054,E06000022,E06000023,Bath and North East Somerset,"Bristol, City of",106,5,3,37,6,13,0,41,0,1,0,7.25,2.25,2.94,-0.0648,36.17,-0.825,9.72,4.72,2.95,-0.0481,35.27,-1.73,13.21,8.21,2.67,-0.329,34,-3,27.83,22.83,2.25,-0.75,28.64,-8.36,-0.00321,5955,-9.82e-4,1821,-0.00358,6644,-0.00135,2510,-0.00578,10724,-0.00355,6590,-0.0084,15580,-0.00617,11446,-1140,-353,-1530,-743,-2073,-1286,-4371,-3584,6.93,8.43,10.07,1.22,1.19,3.42,3.16,39.03,49.85
E02002986,E02002986,Bath and North East Somerset 002,Bath and North East Somerset 002,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,148,2,71,64,9,0,0,1,0,1,0,6.72,4.72,68.7,-2.3,61.93,-2.07,8.71,6.71,67.74,-3.26,61.06,-2.94,41.03,39.03,52.02,-18.98,46.89,-17.11,55.77,53.77,44.85,-26.15,40.43,-23.57,-2.31e-5,42,-1.62e-5,30,-2.17e-5,39,-1.48e-5,27,-9.76e-5,180,-9.08e-5,168,6.25e-4,-1159,6.32e-4,-1171,-134,-94,-174,-134,-824,-784,-1120,-1080,0,0.901,NA,NA,NA,3.2,NA,NA,NA
E02002986,E02002987,Bath and North East Somerset 002,Bath and North East Somerset 003,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,225,5,83,112,14,0,0,8,1,2,0,12.31,7.31,80.25,-2.75,108.28,-3.72,9.62,4.62,81.2,-1.8,109.67,-2.33,59.29,54.29,62.42,-20.58,84.4,-27.6,90.34,85.34,50.73,-32.27,68.58,-43.42,-4.06e-4,752,-2.26e-4,418,-2.65e-4,490,-8.42e-5,156,-0.00176,3262,-0.00158,2928,6.23e-5,-117,2.43e-4,-451,-660,-389,-514,-243,-3157,-2886,-4812,-4541,1.16,2.06,1.92,1.78,0.933,3.79,3.44,9.9,10.17
E02002986,E02002991,Bath and North East Somerset 002,Bath and North East Somerset 007,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,132,1,5,78,8,20,0,17,0,2,1,2.77,1.77,4.93,-0.0677,76.94,-1.06,2.85,1.85,4.92,-0.0819,76.92,-1.08,7.86,6.86,4.74,-0.256,73.9,-4.1,20.94,19.94,4.24,-0.756,66.12,-11.88,-0.0018600000000000001,3445,-0.00119,2206,-0.00146,2715,-7.96e-4,1476,-0.00517,9588,-0.0045,8349,-0.0091,16874,-0.00843,15635,-1076,-692,-1094,-710,-3076,-2692,-8194,-7810,10.2,12.92,12.92,1.27,0.999,3.02,2.91,57.15,61.95
E02002986,E02002992,Bath and North East Somerset 002,Bath and North East Somerset 008,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,68,0,1,60,2,1,0,3,0,1,0,1.25,1.25,0.982,-0.0184,58.9,-1.1,0,0,1,0,60,0,6.79,6.79,0.9,-0.0998,54.01,-5.99,15.4,15.4,0.774,-0.226,46.42,-13.58,-6.44e-4,1194,-6.44e-4,1194,0,0,0,0,-0.00351,6513,-0.00351,6513,-0.00504,9346,-0.00504,9346,-547,-547,0,0,-2975,-2975,-6750,-6750,8,9.77,10.15,1.22,1.04,3.31,3.06,43.62,47.03
E02002986,E02002996,Bath and North East Somerset 002,Bath and North East Somerset 012,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,64,2,6,46,4,4,0,2,0,0,0,2.84,0.843,5.92,-0.0833,45.38,-0.625,9.63,7.63,4.1,-1.9,40.95,-5.05,3.73,1.73,5.93,-0.0722,44.66,-1.34,9.59,7.59,5.38,-0.621,40.31,-5.69,-0.00185,3433,-5.69e-4,1055,-0.00421,7812,-0.00293,5434,-0.00247,4590,-0.00119,2212,-0.00448,8308,-0.0032,5930,-1406,-430,-4465,-3489,-1898,-922,-4908,-3932,11.23,13.58,13.8,1.21,1.02,2.83,2.62,57.45,65.78
E02002986,E02003000,Bath and North East Somerset 002,Bath and North East Somerset 016,E06000022,E06000022,Bath and North East Somerset,Bath and North East Somerset,131,3,10,102,9,0,0,3,0,3,1,6.97,3.97,9.69,-0.309,98.84,-3.16,4.16,1.16,9.82,-0.175,101.19,-0.81,27.61,24.61,8.05,-1.95,82.42,-19.58,47.74,44.74,6.49,-3.51,66.38,-35.62,-0.00158,2932,-8.92e-4,1654,-8.3e-4,1538,-1.4e-4,260,-0.00634,11755,-0.00565,10477,-0.00752,13945,-0.00683,12667,-1403,-793,-813,-203,-5527,-4917,-9558,-8948,3.74,4.94,5.75,1.32,1.16,3.65,3.17,26.25,28.82
